financial_year,actual_revised_estimated,sector,ministry,type,amount,percent_of_gdp
2007,Actual,Social Development,Social and Family Development,Development,234,0.001
2008,Actual,Social Development,Social and Family Development,Development,96,0.000
2009,Actual,Social Development,Social and Family Development,Development,115,0.000
2010,Actual,Social Development,Social and Family Development,Development,120,0.000
2011,Actual,Social Development,Social and Family Development,Development,64,0.000
2012,Actual,Social Development,Social and Family Development,Development,37,0.000
2013,Actual,Social Development,Social and Family Development,Development,41,0.000
2014,Actual,Social Development,Social and Family Development,Development,62,0.000
2015,Actual,Social Development,Social and Family Development,Development,111,0.000
2016,Actual,Social Development,Social and Family Development,Development,98,0.000
2017,Revised,Social Development,Social and Family Development,Development,88,0.000
2018,Estimated,Social Development,Social and Family Development,Development,116,0.000
1997,Actual,Social Development,Communications and Information,Operating,186,0.001
1998,Actual,Social Development,Communications and Information,Operating,194,0.001
1999,Actual,Social Development,Communications and Information,Operating,220,0.001
2000,Actual,Social Development,Communications and Information,Operating,213,0.001
2001,Actual,Social Development,Communications and Information,Operating,234,0.001
2002,Actual,Social Development,Communications and Information,Operating,241,0.001
2003,Actual,Social Development,Communications and Information,Operating,228,0.001
2004,Actual,Social Development,Communications and Information,Operating,251,0.001
2005,Actual,Social Development,Communications and Information,Operating,294,0.001
2006,Actual,Social Development,Communications and Information,Operating,341,0.001
2007,Actual,Social Development,Communications and Information,Operating,352,0.001
2008,Actual,Social Development,Communications and Information,Operating,412,0.002
2009,Actual,Social Development,Communications and Information,Operating,422,0.001
2010,Actual,Social Development,Communications and Information,Operating,500,0.002
2011,Actual,Social Development,Communications and Information,Operating,525,0.001
2012,Actual,Social Development,Communications and Information,Operating,430,0.001
2013,Actual,Social Development,Communications and Information,Operating,336,0.001
2014,Actual,Social Development,Communications and Information,Operating,354,0.001
2015,Actual,Social Development,Communications and Information,Operating,424,0.001
2016,Actual,Social Development,Communications and Information,Operating,456,0.001
2017,Revised,Social Development,Communications and Information,Operating,498,0.001
2018,Estimated,Social Development,Communications and Information,Operating,495,0.001
1997,Actual,Social Development,Communications and Information,Development,137,0.001
1998,Actual,Social Development,Communications and Information,Development,158,0.001
1999,Actual,Social Development,Communications and Information,Development,139,0.001
2000,Actual,Social Development,Communications and Information,Development,97,0.001
2001,Actual,Social Development,Communications and Information,Development,162,0.001
2002,Actual,Social Development,Communications and Information,Development,143,0.001
2003,Actual,Social Development,Communications and Information,Development,160,0.001
2004,Actual,Social Development,Communications and Information,Development,155,0.001
2005,Actual,Social Development,Communications and Information,Development,110,0.001
2006,Actual,Social Development,Communications and Information,Development,89,0.000
2007,Actual,Social Development,Communications and Information,Development,95,0.000
2008,Actual,Social Development,Communications and Information,Development,132,0.000
2009,Actual,Social Development,Communications and Information,Development,128,0.000
2010,Actual,Social Development,Communications and Information,Development,109,0.000
2011,Actual,Social Development,Communications and Information,Development,123,0.000
2012,Actual,Social Development,Communications and Information,Development,79,0.000
2013,Actual,Social Development,Communications and Information,Development,61,0.000
2014,Actual,Social Development,Communications and Information,Development,148,0.000
2015,Actual,Social Development,Communications and Information,Development,144,0.000
2016,Actual,Social Development,Communications and Information,Development,88,0.000
2017,Revised,Social Development,Communications and Information,Development,161,0.000
2018,Estimated,Social Development,Communications and Information,Development,48,0.000
1997,Actual,Social Development,Manpower,Operating,0,0.000
1998,Actual,Social Development,Manpower,Operating,0,0.000
1999,Actual,Social Development,Manpower,Operating,0,0.000
2000,Actual,Social Development,Manpower,Operating,0,0.000
2001,Actual,Social Development,Manpower,Operating,0,0.000
2002,Actual,Social Development,Manpower,Operating,0,0.000
2003,Actual,Social Development,Manpower,Operating,0,0.000
2004,Actual,Social Development,Manpower,Operating,0,0.000
2005,Actual,Social Development,Manpower,Operating,0,0.000
2006,Actual,Social Development,Manpower,Operating,0,0.000
2007,Actual,Social Development,Manpower,Operating,2,0.000
2008,Actual,Social Development,Manpower,Operating,340,0.001
2009,Actual,Social Development,Manpower,Operating,354,0.001
2010,Actual,Social Development,Manpower,Operating,364,0.001
2011,Actual,Social Development,Manpower,Operating,469,0.001
2012,Actual,Social Development,Manpower,Operating,497,0.001
2013,Actual,Social Development,Manpower,Operating,666,0.002
2014,Actual,Social Development,Manpower,Operating,709,0.002
2015,Actual,Social Development,Manpower,Operating,706,0.002
2016,Actual,Social Development,Manpower,Operating,1154,0.003
2017,Revised,Social Development,Manpower,Operating,1124,0.002
2018,Estimated,Social Development,Manpower,Operating,1096,0.002
1997,Actual,Social Development,Manpower,Development,0,0.000
1998,Actual,Social Development,Manpower,Development,0,0.000
1999,Actual,Social Development,Manpower,Development,0,0.000
2000,Actual,Social Development,Manpower,Development,0,0.000
2001,Actual,Social Development,Manpower,Development,0,0.000
2002,Actual,Social Development,Manpower,Development,0,0.000
2003,Actual,Social Development,Manpower,Development,0,0.000
2004,Actual,Social Development,Manpower,Development,0,0.000
2005,Actual,Social Development,Manpower,Development,0,0.000
2006,Actual,Social Development,Manpower,Development,0,0.000
2007,Actual,Social Development,Manpower,Development,0,0.000
2008,Actual,Social Development,Manpower,Development,1,0.000
2009,Actual,Social Development,Manpower,Development,0,0.000
2010,Actual,Social Development,Manpower,Development,0,0.000
2011,Actual,Social Development,Manpower,Development,0,0.000
2012,Actual,Social Development,Manpower,Development,0,0.000
2013,Actual,Social Development,Manpower,Development,0,0.000
2014,Actual,Social Development,Manpower,Development,0,0.000
2015,Actual,Social Development,Manpower,Development,0,0.000
2016,Actual,Social Development,Manpower,Development,0,0.000
2017,Revised,Social Development,Manpower,Development,0,0.000
2018,Estimated,Social Development,Manpower,Development,0,0.000
1997,Actual,Security and External Relations,Defence,Operating,6097,0.041
1998,Actual,Security and External Relations,Defence,Operating,6481,0.046
1999,Actual,Security and External Relations,Defence,Operating,6647,0.044
2000,Actual,Security and External Relations,Defence,Operating,6561,0.039
2001,Actual,Security and External Relations,Defence,Operating,7089,0.045
2002,Actual,Security and External Relations,Defence,Operating,7694,0.046
2003,Actual,Security and External Relations,Defence,Operating,7714,0.044
2004,Actual,Security and External Relations,Defence,Operating,8243,0.042
2005,Actual,Security and External Relations,Defence,Operating,8889,0.041
2006,Actual,Security and External Relations,Defence,Operating,9273,0.038
2007,Actual,Security and External Relations,Defence,Operating,9660,0.035
2008,Actual,Security and External Relations,Defence,Operating,10397,0.039
2009,Actual,Security and External Relations,Defence,Operating,10603,0.036
2010,Actual,Security and External Relations,Defence,Operating,10623,0.032
2011,Actual,Security and External Relations,Defence,Operating,10797,0.031
2012,Actual,Security and External Relations,Defence,Operating,11056,0.030
2013,Actual,Security and External Relations,Defence,Operating,11329,0.029
2014,Actual,Security and External Relations,Defence,Operating,11867,0.030
2015,Actual,Security and External Relations,Defence,Operating,12672,0.030
2016,Actual,Security and External Relations,Defence,Operating,13281,0.031
2017,Revised,Security and External Relations,Defence,Operating,13613,0.030
2018,Estimated,Security and External Relations,Defence,Operating,14238,0.030
1997,Actual,Security and External Relations,Defence,Development,418,0.003
1998,Actual,Security and External Relations,Defence,Development,775,0.005
1999,Actual,Security and External Relations,Defence,Development,620,0.004
2000,Actual,Security and External Relations,Defence,Development,861,0.005
2001,Actual,Security and External Relations,Defence,Development,730,0.005
2002,Actual,Security and External Relations,Defence,Development,509,0.003
2003,Actual,Security and External Relations,Defence,Development,524,0.003
2004,Actual,Security and External Relations,Defence,Development,377,0.002
2005,Actual,Security and External Relations,Defence,Development,363,0.002
2006,Actual,Security and External Relations,Defence,Development,355,0.001
2007,Actual,Security and External Relations,Defence,Development,349,0.001
2008,Actual,Security and External Relations,Defence,Development,328,0.001
2009,Actual,Security and External Relations,Defence,Development,440,0.002
2010,Actual,Security and External Relations,Defence,Development,438,0.001
2011,Actual,Security and External Relations,Defence,Development,479,0.001
2012,Actual,Security and External Relations,Defence,Development,468,0.001
2013,Actual,Security and External Relations,Defence,Development,422,0.001
2014,Actual,Security and External Relations,Defence,Development,429,0.001
2015,Actual,Security and External Relations,Defence,Development,431,0.001
2016,Actual,Security and External Relations,Defence,Development,543,0.001
2017,Revised,Security and External Relations,Defence,Development,594,0.001
2018,Estimated,Security and External Relations,Defence,Development,524,0.001
1997,Actual,Security and External Relations,Home Affairs,Operating,994,0.007
1998,Actual,Security and External Relations,Home Affairs,Operating,1032,0.007
1999,Actual,Security and External Relations,Home Affairs,Operating,1101,0.007
2000,Actual,Security and External Relations,Home Affairs,Operating,1300,0.008
2001,Actual,Security and External Relations,Home Affairs,Operating,1580,0.010
2002,Actual,Security and External Relations,Home Affairs,Operating,1563,0.009
2003,Actual,Security and External Relations,Home Affairs,Operating,1708,0.010
2004,Actual,Security and External Relations,Home Affairs,Operating,1752,0.009
2005,Actual,Security and External Relations,Home Affairs,Operating,1825,0.008
2006,Actual,Security and External Relations,Home Affairs,Operating,2010,0.008
2007,Actual,Security and External Relations,Home Affairs,Operating,2428,0.009
2008,Actual,Security and External Relations,Home Affairs,Operating,2478,0.009
2009,Actual,Security and External Relations,Home Affairs,Operating,2577,0.009
2010,Actual,Security and External Relations,Home Affairs,Operating,2937,0.009
2011,Actual,Security and External Relations,Home Affairs,Operating,2947,0.008
2012,Actual,Security and External Relations,Home Affairs,Operating,3266,0.009
2013,Actual,Security and External Relations,Home Affairs,Operating,3522,0.009
2014,Actual,Security and External Relations,Home Affairs,Operating,4029,0.010
2015,Actual,Security and External Relations,Home Affairs,Operating,4377,0.010
2016,Actual,Security and External Relations,Home Affairs,Operating,4652,0.011
2017,Revised,Security and External Relations,Home Affairs,Operating,5002,0.011
2018,Estimated,Security and External Relations,Home Affairs,Operating,5341,0.011
1997,Actual,Security and External Relations,Home Affairs,Development,900,0.006
1998,Actual,Security and External Relations,Home Affairs,Development,847,0.006
1999,Actual,Security and External Relations,Home Affairs,Development,729,0.005
2000,Actual,Security and External Relations,Home Affairs,Development,654,0.004
2001,Actual,Security and External Relations,Home Affairs,Development,570,0.004
2002,Actual,Security and External Relations,Home Affairs,Development,478,0.003
2003,Actual,Security and External Relations,Home Affairs,Development,439,0.003
2004,Actual,Security and External Relations,Home Affairs,Development,473,0.002
2005,Actual,Security and External Relations,Home Affairs,Development,460,0.002
2006,Actual,Security and External Relations,Home Affairs,Development,399,0.002
2007,Actual,Security and External Relations,Home Affairs,Development,396,0.001
2008,Actual,Security and External Relations,Home Affairs,Development,387,0.001
2009,Actual,Security and External Relations,Home Affairs,Development,350,0.001
2010,Actual,Security and External Relations,Home Affairs,Development,240,0.001
2011,Actual,Security and External Relations,Home Affairs,Development,194,0.001
2012,Actual,Security and External Relations,Home Affairs,Development,207,0.001
2013,Actual,Security and External Relations,Home Affairs,Development,379,0.001
2014,Actual,Security and External Relations,Home Affairs,Development,438,0.001
2015,Actual,Security and External Relations,Home Affairs,Development,506,0.001
2016,Actual,Security and External Relations,Home Affairs,Development,573,0.001
2017,Revised,Security and External Relations,Home Affairs,Development,831,0.002
2018,Estimated,Security and External Relations,Home Affairs,Development,1134,0.002
1997,Actual,Security and External Relations,Foreign Affairs,Operating,143,0.001
1998,Actual,Security and External Relations,Foreign Affairs,Operating,148,0.001
1999,Actual,Security and External Relations,Foreign Affairs,Operating,153,0.001
2000,Actual,Security and External Relations,Foreign Affairs,Operating,180,0.001
2001,Actual,Security and External Relations,Foreign Affairs,Operating,196,0.001
2002,Actual,Security and External Relations,Foreign Affairs,Operating,211,0.001
2003,Actual,Security and External Relations,Foreign Affairs,Operating,212,0.001
2004,Actual,Security and External Relations,Foreign Affairs,Operating,233,0.001
2005,Actual,Security and External Relations,Foreign Affairs,Operating,267,0.001
2006,Actual,Security and External Relations,Foreign Affairs,Operating,257,0.001
2007,Actual,Security and External Relations,Foreign Affairs,Operating,311,0.001
2008,Actual,Security and External Relations,Foreign Affairs,Operating,344,0.001
2009,Actual,Security and External Relations,Foreign Affairs,Operating,343,0.001
2010,Actual,Security and External Relations,Foreign Affairs,Operating,360,0.001
2011,Actual,Security and External Relations,Foreign Affairs,Operating,344,0.001
2012,Actual,Security and External Relations,Foreign Affairs,Operating,355,0.001
2013,Actual,Security and External Relations,Foreign Affairs,Operating,382,0.001
2014,Actual,Security and External Relations,Foreign Affairs,Operating,394,0.001
2015,Actual,Security and External Relations,Foreign Affairs,Operating,447,0.001
2016,Actual,Security and External Relations,Foreign Affairs,Operating,439,0.001
2017,Revised,Security and External Relations,Foreign Affairs,Operating,454,0.001
2018,Estimated,Security and External Relations,Foreign Affairs,Operating,477,0.001
1997,Actual,Security and External Relations,Foreign Affairs,Development,6,0.000
1998,Actual,Security and External Relations,Foreign Affairs,Development,24,0.000
1999,Actual,Security and External Relations,Foreign Affairs,Development,53,0.000
2000,Actual,Security and External Relations,Foreign Affairs,Development,70,0.000
2001,Actual,Security and External Relations,Foreign Affairs,Development,62,0.000
2002,Actual,Security and External Relations,Foreign Affairs,Development,81,0.000
2003,Actual,Security and External Relations,Foreign Affairs,Development,57,0.000
2004,Actual,Security and External Relations,Foreign Affairs,Development,49,0.000
2005,Actual,Security and External Relations,Foreign Affairs,Development,46,0.000
2006,Actual,Security and External Relations,Foreign Affairs,Development,86,0.000
2007,Actual,Security and External Relations,Foreign Affairs,Development,83,0.000
2008,Actual,Security and External Relations,Foreign Affairs,Development,61,0.000
2009,Actual,Security and External Relations,Foreign Affairs,Development,71,0.000
2010,Actual,Security and External Relations,Foreign Affairs,Development,40,0.000
2011,Actual,Security and External Relations,Foreign Affairs,Development,44,0.000
